# Generated at 2024-10-15 11:16:11 (04:00) by AQUARIUS Time-Series 24.1.177.0,,,,,
# UTC-05,,,,,
# Period Selected: Entire Record,,,,,
#,,,,,
# Comment: ,,,,,
# Description: ,,,,,
# ReportTitle: LCCD Little Conestoga Sonde Data May 2023 - July 2024,,,,,
#,,,,,
# CSV data starts at line 12,,,,,
#,,,,,
TimeStamp,Dissolved Oxygen (mg/l),Water Temperature (C),Specific Conductivity (uS/cm),pH,Total Dissolved Solids (mg/l)
5/1/2023 18:19,10.09,12.915,,8.06,
5/1/2023 18:34,10.45,13.719,634.6,8.01,412
5/1/2023 18:49,10.49,13.838,636.5,8.02,414
5/1/2023 19:04,10.47,13.862,637.2,8.04,414
5/1/2023 19:19,10.45,13.938,639,8.04,415
5/1/2023 19:34,10.44,13.974,639.7,8.05,416
5/1/2023 19:49,10.41,13.976,641.5,8.06,417
5/1/2023 20:04,10.32,13.964,642.9,8.06,418
5/1/2023 20:19,10.25,14.002,645.5,8.06,420
5/1/2023 20:34,10.19,13.99,646.5,8.06,420
5/1/2023 20:49,10.15,14.001,648.8,8.06,422
5/1/2023 21:04,10.13,14.076,649.8,8.07,422
5/1/2023 21:19,10.11,14.119,651.2,8.07,423
5/1/2023 21:34,10.11,14.168,653.1,8.07,425
5/1/2023 21:49,10.07,14.196,654.6,8.08,425
5/1/2023 22:04,9.98,14.192,657,8.08,427
5/1/2023 22:19,9.86,14.174,658.6,8.07,428
5/1/2023 22:34,9.73,14.154,660.6,8.07,429
5/1/2023 22:49,9.62,14.129,662.3,8.06,431
5/1/2023 23:04,9.53,14.119,663.7,8.06,431
5/1/2023 23:19,9.41,14.101,665.2,8.05,432
5/1/2023 23:34,9.29,14.095,667.1,8.04,434
5/1/2023 23:49,9.16,14.088,668.5,8.04,435
5/2/2023 0:04,9.05,14.09,669.4,8.03,435
5/2/2023 0:19,8.96,14.093,670.9,8.02,436
5/2/2023 0:34,8.88,14.097,673.1,8.02,438
5/2/2023 0:49,8.81,14.076,675.6,8.02,439
5/2/2023 1:04,8.74,14.044,677.9,8.01,441
5/2/2023 1:19,8.66,14.025,679.3,8.01,442
5/2/2023 1:34,8.61,13.986,679.5,8,442
5/2/2023 1:49,8.56,13.951,679.9,7.99,442
5/2/2023 2:04,8.5,13.912,678.5,7.99,441
5/2/2023 2:19,8.46,13.871,677.9,7.99,441
5/2/2023 2:34,8.41,13.826,675.8,7.98,439
5/2/2023 2:49,8.36,13.778,675.5,7.97,439
5/2/2023 3:04,8.3,13.729,677.5,7.97,440
5/2/2023 3:19,8.22,13.681,680.1,7.95,442
5/2/2023 3:34,8.16,13.629,680.7,7.95,442
5/2/2023 3:49,8.13,13.573,680.9,7.94,443
5/2/2023 4:04,8.11,13.511,682.1,7.94,443
5/2/2023 4:19,8.1,13.449,684.5,7.93,445
5/2/2023 4:34,8.1,13.377,687.1,7.93,447
5/2/2023 4:49,8.1,13.301,689.2,7.93,448
5/2/2023 5:04,8.09,13.221,689.7,7.92,448
5/2/2023 5:19,8.08,13.141,688.4,7.92,447
5/2/2023 5:34,8.08,13.059,686.8,7.92,446
5/2/2023 5:49,8.09,12.98,685.9,7.91,446
5/2/2023 6:04,8.09,12.914,685.3,7.91,445
5/2/2023 6:19,8.1,12.851,685.3,7.91,445
5/2/2023 6:34,8.12,12.773,686.3,7.91,446
5/2/2023 6:49,8.15,12.687,687.5,7.91,447
5/2/2023 7:04,8.17,12.613,690.2,7.91,449
5/2/2023 7:19,8.19,12.54,692.3,7.91,450
5/2/2023 7:34,8.22,12.479,695.1,7.91,452
5/2/2023 7:49,8.25,12.426,697,7.92,453
5/2/2023 8:04,8.28,12.372,698.2,7.92,454
5/2/2023 8:19,8.29,12.314,699.4,7.92,455
5/2/2023 8:34,8.31,12.255,699.8,7.92,455
5/2/2023 8:49,8.32,12.201,700.2,7.92,455
5/2/2023 9:04,8.34,12.145,700.3,7.92,455
5/2/2023 9:19,8.35,12.086,700.4,7.92,455
5/2/2023 9:34,8.35,12.034,700.9,7.92,456
5/2/2023 9:49,8.35,11.984,700.8,7.92,456
5/2/2023 10:04,8.35,11.931,701.9,7.92,456
5/2/2023 10:19,8.36,11.875,702.9,7.92,457
5/2/2023 10:34,8.38,11.82,703.9,7.92,458
5/2/2023 10:49,8.42,11.775,705.2,7.92,458
5/2/2023 11:04,8.46,11.746,706,7.92,459
5/2/2023 11:19,8.5,11.712,707.1,7.92,460
5/2/2023 11:34,8.57,11.696,706.2,7.93,459
5/2/2023 11:49,8.65,11.676,706.4,7.93,459
5/2/2023 12:04,8.73,11.67,706.8,7.94,459
5/2/2023 12:19,8.83,11.659,706.2,7.95,459
5/2/2023 12:34,8.93,11.66,707.3,7.95,460
5/2/2023 12:49,9.03,11.669,707.9,7.96,460
5/2/2023 13:04,9.13,11.679,709.1,7.97,461
5/2/2023 13:19,9.24,11.687,709.7,7.98,461
5/2/2023 13:34,9.33,11.708,711.2,7.98,462
5/2/2023 13:49,9.43,11.744,712.5,7.99,463
5/2/2023 14:04,9.51,11.752,714.5,8,464
5/2/2023 14:19,9.6,11.801,715.9,8,465
5/2/2023 14:34,9.68,11.808,717,8.01,466
5/2/2023 14:49,9.77,11.852,717.9,8.02,467
5/2/2023 15:04,9.87,11.913,718.1,8.03,467
5/2/2023 15:19,9.98,11.971,718.3,8.03,467
5/2/2023 15:34,10.1,12.035,718.5,8.04,467
5/2/2023 15:49,10.2,12.088,718.3,8.05,467
5/2/2023 16:04,10.29,12.112,718.2,8.06,467
5/2/2023 16:19,10.33,12.096,718,8.07,467
5/2/2023 16:34,10.35,12.076,717.9,8.07,467
5/2/2023 16:49,10.36,12.05,718.5,8.08,467
5/2/2023 17:04,10.38,12.045,719.5,8.08,468
5/2/2023 17:19,10.42,12.08,721.1,8.09,469
5/2/2023 17:34,10.45,12.106,722,8.09,469
5/2/2023 17:49,10.47,12.124,723.4,8.09,470
5/2/2023 18:04,10.48,12.145,723.9,8.1,471
5/2/2023 18:19,10.48,12.151,723.6,8.11,470
5/2/2023 18:34,10.48,12.154,724.2,8.11,471
5/2/2023 18:49,10.49,12.177,724.6,8.12,471
5/2/2023 19:04,10.53,12.226,724.8,8.12,471
5/2/2023 19:19,10.58,12.283,725,8.13,471
5/2/2023 19:34,10.66,12.371,724.8,8.14,471
5/2/2023 19:49,10.73,12.453,724.7,8.14,471
5/2/2023 20:04,10.79,12.522,724.6,8.15,471
5/2/2023 20:19,10.82,12.573,724.6,8.16,471
5/2/2023 20:34,10.81,12.604,725.7,8.16,472
5/2/2023 20:49,10.78,12.628,726.6,8.16,472
5/2/2023 21:04,10.76,12.639,725.8,8.16,472
