		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
02/01/15	12:15 a	21.0	21.2	21.0	68	12.1	3.0	W	0.75	6.0	W	16.9	20.7	16.6	12.0	1020.5	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.458	0.000	15.8	76	9.6	15.6	0.000	345	1	100.0	15
02/01/15	12:30 a	20.7	21.0	20.7	69	12.1	2.0	W	0.50	4.0	W	18.5	20.4	18.2	13.6	1020.4	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.461	0.000	15.6	76	9.4	15.4	0.000	348	1	100.0	15
02/01/15	12:45 a	20.4	20.7	20.4	69	11.8	3.0	W	0.75	6.0	W	16.2	20.1	15.9	11.2	1020.3	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.465	0.000	15.3	76	9.1	15.1	0.000	348	1	100.0	15
02/01/15	1:00 a	20.4	20.4	20.3	70	12.2	5.0	W	1.25	7.0	W	13.5	20.1	13.2	8.6	1020.2	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.465	0.000	15.2	77	9.3	15.0	0.001	349	1	100.0	15
02/01/15	1:15 a	20.4	20.4	20.4	69	11.8	4.0	W	1.00	7.0	W	14.7	20.1	14.4	9.7	1020.1	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.465	0.000	15.3	77	9.4	15.1	0.000	349	1	100.0	15
02/01/15	1:30 a	20.2	20.4	20.2	70	12.0	5.0	W	1.25	6.0	W	13.2	19.9	12.9	8.2	1020.1	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.467	0.000	15.3	77	9.4	15.1	0.000	349	1	100.0	15
02/01/15	1:45 a	19.9	20.2	19.9	70	11.7	5.0	W	1.25	7.0	W	12.9	19.6	12.6	7.9	1020.2	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.470	0.000	15.2	77	9.3	15.0	0.000	349	1	100.0	15
02/01/15	2:00 a	19.7	19.9	19.7	71	11.8	5.0	W	1.25	7.0	W	12.6	19.4	12.3	7.6	1020.3	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.472	0.000	15.2	78	9.6	15.0	0.001	350	1	100.0	15
02/01/15	2:15 a	19.7	19.7	19.7	71	11.8	4.0	W	1.00	6.0	W	13.9	19.4	13.6	8.9	1020.4	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.472	0.000	15.3	78	9.7	15.1	0.000	345	1	100.0	15
02/01/15	2:30 a	19.4	19.7	19.4	71	11.5	3.0	W	0.75	5.0	W	15.1	19.1	14.8	10.1	1020.2	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.475	0.000	15.3	78	9.7	15.1	0.000	350	1	100.0	15
02/01/15	2:45 a	19.1	19.4	19.1	72	11.6	2.0	W	0.50	4.0	W	16.8	18.8	16.5	11.8	1020.1	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.478	0.000	15.5	79	10.1	15.3	0.000	347	1	100.0	15
02/01/15	3:00 a	19.1	19.1	19.0	73	11.9	1.0	W	0.25	3.0	W	19.1	18.8	18.8	14.1	1020.0	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.478	0.000	16.0	79	10.6	15.8	0.001	350	1	100.0	15
02/01/15	3:15 a	19.3	19.3	19.0	74	12.4	1.0	W	0.25	3.0	W	19.3	19.0	19.0	14.4	1019.8	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.476	0.000	16.5	79	11.1	16.3	0.000	349	1	100.0	15
02/01/15	3:30 a	19.7	19.7	19.2	75	13.1	2.0	W	0.50	5.0	W	17.5	19.4	17.2	12.6	1019.9	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.472	0.000	17.1	80	12.0	16.9	0.000	348	1	100.0	15
02/01/15	3:45 a	20.1	20.1	19.7	75	13.4	1.0	W	0.25	3.0	W	20.1	19.8	19.8	15.2	1019.7	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.468	0.000	17.7	80	12.6	17.5	0.000	350	1	100.0	15
02/01/15	4:00 a	20.9	20.9	20.1	75	14.2	3.0	W	0.75	8.0	W	16.8	20.6	16.5	11.9	1020.1	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.459	0.000	18.5	80	13.4	18.3	0.000	350	1	100.0	15
02/01/15	4:15 a	22.8	22.8	20.9	74	15.8	6.0	W	1.50	12.0	W	15.3	22.5	15.0	10.5	1020.1	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.440	0.000	19.3	82	14.7	19.1	0.000	349	1	100.0	15
02/01/15	4:30 a	23.9	23.9	22.9	73	16.5	4.0	W	1.00	9.0	W	18.7	23.6	18.4	13.9	1020.2	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.428	0.000	20.4	82	15.8	20.2	0.000	348	1	100.0	15
02/01/15	4:45 a	24.6	24.6	23.9	72	16.9	6.0	W	1.50	10.0	WSW	17.4	24.2	17.0	12.5	1020.2	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.421	0.000	21.4	82	16.8	21.2	0.000	347	1	100.0	15
02/01/15	5:00 a	25.3	25.3	24.7	71	17.2	7.0	W	1.75	11.0	W	17.4	24.9	17.0	12.6	1020.4	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.414	0.000	22.1	82	17.4	21.9	0.001	348	1	100.0	15
02/01/15	5:15 a	25.4	25.4	25.3	71	17.3	5.0	W	1.25	9.0	W	19.3	25.0	18.9	14.4	1020.3	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.412	0.000	22.9	81	17.9	22.6	0.000	350	1	100.0	15
02/01/15	5:30 a	24.7	25.4	24.7	72	17.0	1.0	WNW	0.25	4.0	WNW	24.7	24.3	24.3	19.8	1020.2	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.420	0.000	23.4	80	18.1	23.1	0.000	349	1	100.0	15
02/01/15	5:45 a	24.0	24.7	24.0	73	16.6	1.0	WNW	0.25	3.0	WNW	24.0	23.7	23.7	19.2	1020.3	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.427	0.000	23.4	80	18.1	23.1	0.000	349	1	100.0	15
02/01/15	6:00 a	24.1	24.1	24.0	74	17.0	1.0	WNW	0.25	3.0	WNW	24.1	23.8	23.8	19.3	1020.3	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.426	0.000	23.6	80	18.3	23.3	0.001	349	1	100.0	15
02/01/15	6:15 a	24.2	24.2	24.1	75	17.4	1.0	WNW	0.25	4.0	WNW	24.2	23.9	23.9	19.4	1020.2	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.425	0.000	23.7	80	18.4	23.4	0.000	349	1	100.0	15
