 		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
01/01/20	12:15 a	37.3	37.4	37.3	85	33.2	0.0	W	0.00	8.0	WSW	37.3	37.1	37.1	---	1000.4	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.289	0.000	67.9	36	39.9	65.2	0.000	347	1	100.0	15
01/01/20	12:30 a	37.3	37.3	37.2	82	32.3	1.0	WSW	0.25	11.0	WSW	37.3	37.0	37.0	---	1000.4	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.289	0.000	67.8	36	39.9	65.1	0.000	351	1	100.0	15
01/01/20	12:45 a	37.3	37.4	37.3	80	31.7	2.0	WSW	0.50	12.0	WSW	36.8	37.0	36.5	---	1000.4	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.289	0.000	67.7	36	39.8	65.0	0.000	350	1	100.0	15
01/01/20	1:00 a	37.4	37.4	37.4	79	31.5	3.0	WSW	0.75	15.0	W	35.4	37.1	35.1	---	1000.4	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.287	0.000	67.5	36	39.6	64.8	0.000	352	1	100.0	15
01/01/20	1:15 a	37.2	37.4	37.2	79	31.3	1.0	WSW	0.25	10.0	WSW	37.2	36.9	36.9	---	1000.5	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.290	0.000	67.4	36	39.5	64.6	0.000	349	1	100.0	15
01/01/20	1:30 a	37.1	37.2	37.1	79	31.2	2.0	W	0.50	12.0	W	36.6	36.8	36.3	---	1000.6	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.291	0.000	67.3	36	39.4	64.5	0.000	349	1	100.0	15
01/01/20	1:45 a	37.1	37.1	37.0	80	31.5	1.0	W	0.25	12.0	W	37.1	36.8	36.8	---	1000.8	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.291	0.000	67.1	36	39.2	64.3	0.000	349	1	100.0	15
01/01/20	2:00 a	37.1	37.1	37.1	79	31.2	1.0	W	0.25	14.0	W	37.1	36.8	36.8	---	1001.0	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.291	0.000	67.0	35	38.4	64.1	0.001	350	1	100.0	15
01/01/20	2:15 a	37.1	37.2	37.1	80	31.5	2.0	W	0.50	11.0	W	36.6	36.8	36.3	---	1001.4	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.291	0.000	66.9	35	38.3	64.0	0.000	352	1	100.0	15
01/01/20	2:30 a	36.6	37.1	36.6	81	31.3	3.0	WNW	0.75	13.0	WNW	34.5	36.3	34.2	---	1001.6	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.296	0.000	66.7	35	38.2	63.8	0.000	351	1	100.0	15
01/01/20	2:45 a	36.2	36.6	36.2	82	31.2	3.0	W	0.75	14.0	WNW	34.1	35.9	33.8	---	1001.7	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.300	0.000	66.5	35	38.0	63.5	0.000	350	1	100.0	15
01/01/20	3:00 a	35.8	36.2	35.8	85	31.7	1.0	W	0.25	14.0	NW	35.8	35.6	35.6	---	1001.8	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.304	0.000	66.4	35	37.9	63.4	0.001	348	1	100.0	15
01/01/20	3:15 a	35.3	35.8	35.3	86	31.5	0.0	W	0.00	3.0	WNW	35.3	35.1	35.1	---	1001.9	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.309	0.000	66.4	35	37.9	63.4	0.000	347	1	100.0	15
01/01/20	3:30 a	35.0	35.3	35.0	87	31.5	0.0	---	0.00	0.0	---	35.0	34.8	34.8	---	1002.0	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.313	0.000	67.0	36	39.1	64.2	0.000	351	1	100.0	15
01/01/20	3:45 a	34.9	35.0	34.9	85	30.8	0.0	W	0.00	4.0	W	34.9	34.7	34.7	---	1002.1	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.314	0.000	67.7	35	39.0	64.9	0.000	349	1	100.0	15
01/01/20	4:00 a	34.8	34.9	34.8	85	30.8	0.0	WNW	0.00	6.0	W	34.8	34.6	34.6	---	1002.0	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.315	0.000	67.2	35	38.6	64.3	0.000	350	1	100.0	15
01/01/20	4:15 a	34.7	34.8	34.7	85	30.7	0.0	---	0.00	0.0	---	34.7	34.5	34.5	---	1002.0	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.316	0.000	66.9	35	38.3	64.0	0.000	351	1	100.0	15
01/01/20	4:30 a	34.5	34.7	34.5	84	30.2	0.0	---	0.00	0.0	---	34.5	34.2	34.2	---	1001.9	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.318	0.000	66.7	35	38.2	63.8	0.000	351	1	100.0	15
01/01/20	4:45 a	34.4	34.6	34.4	84	30.1	0.0	W	0.00	2.0	W	34.4	34.1	34.1	---	1002.0	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.319	0.000	67.5	36	39.6	64.8	0.000	349	1	100.0	15
01/01/20	5:00 a	34.4	34.4	34.4	85	30.4	0.0	---	0.00	0.0	---	34.4	34.1	34.1	---	1001.9	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.319	0.000	67.8	34	38.4	64.9	0.000	347	1	100.0	15
01/01/20	5:15 a	34.4	34.4	34.4	85	30.4	0.0	---	0.00	0.0	---	34.4	34.1	34.1	---	1002.1	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.319	0.000	67.3	35	38.7	64.4	0.000	351	1	100.0	15
