		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
01/01/24	12:15 a	35.0	35.1	35.0	93	33.2	0.0	---	0.00	0.0	---	35.0	35.0	35.0	31.8	29.848	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.313	0.000	68.9	36	40.8	66.0	0.000	318	1	93.0	15
01/01/24	12:30 a	35.1	35.1	35.0	93	33.3	0.0	---	0.00	0.0	---	35.1	35.1	35.1	31.9	29.841	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.311	0.000	68.8	36	40.7	65.9	0.000	349	1	100.0	15
01/01/24	12:45 a	35.1	35.2	35.1	94	33.5	0.0	---	0.00	0.0	---	35.1	35.1	35.1	31.9	29.840	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.311	0.000	69.6	36	41.5	66.7	0.000	348	1	100.0	15
01/01/24	1:00 a	35.0	35.1	34.9	93	33.2	0.0	---	0.00	0.0	---	35.0	35.0	35.0	31.8	29.837	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.313	0.000	69.0	36	40.9	66.1	0.000	350	1	100.0	15
01/01/24	1:15 a	35.0	35.0	34.9	93	33.2	0.0	---	0.00	0.0	---	35.0	35.0	35.0	31.8	29.831	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.313	0.000	68.5	36	40.5	65.7	0.000	351	1	100.0	15
01/01/24	1:30 a	35.1	35.2	35.0	93	33.3	0.0	---	0.00	0.0	---	35.1	35.1	35.1	31.9	29.831	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.311	0.000	69.4	36	41.3	66.5	0.000	351	1	100.0	15
01/01/24	1:45 a	35.2	35.2	35.1	93	33.4	0.0	---	0.00	0.0	---	35.2	35.2	35.2	32.0	29.834	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.310	0.000	69.5	35	40.6	66.5	0.000	351	1	100.0	15
01/01/24	2:00 a	35.3	35.3	35.2	93	33.5	0.0	---	0.00	0.0	---	35.3	35.3	35.3	32.1	29.833	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.309	0.000	68.9	36	40.8	66.0	0.000	348	1	100.0	15
01/01/24	2:15 a	35.3	35.3	35.3	94	33.7	0.0	---	0.00	0.0	---	35.3	35.3	35.3	32.1	29.832	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.309	0.000	69.2	36	41.1	66.3	0.000	350	1	100.0	15
01/01/24	2:30 a	35.3	35.3	35.3	94	33.7	0.0	---	0.00	0.0	---	35.3	35.3	35.3	32.1	29.834	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.309	0.000	69.7	35	40.8	66.7	0.000	348	1	100.0	15
01/01/24	2:45 a	35.2	35.3	35.2	94	33.6	0.0	---	0.00	0.0	---	35.2	35.2	35.2	32.0	29.836	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.310	0.000	69.0	36	40.9	66.1	0.000	350	1	100.0	15
01/01/24	3:00 a	35.2	35.3	35.2	94	33.6	0.0	---	0.00	0.0	---	35.2	35.2	35.2	32.0	29.828	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.310	0.000	68.9	36	40.8	66.0	0.000	349	1	100.0	15
01/01/24	3:15 a	35.2	35.2	35.1	94	33.6	0.0	---	0.00	0.0	---	35.2	35.2	35.2	32.0	29.823	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.310	0.000	69.8	35	40.9	66.8	0.000	347	1	100.0	15
01/01/24	3:30 a	35.1	35.2	35.1	94	33.5	0.0	---	0.00	0.0	---	35.1	35.1	35.1	31.9	29.829	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.311	0.000	69.2	35	40.4	66.2	0.000	347	1	100.0	15
01/01/24	3:45 a	35.0	35.1	35.0	95	33.7	0.0	---	0.00	0.0	---	35.0	35.0	35.0	31.8	29.827	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.313	0.000	68.7	36	40.7	65.9	0.000	348	1	100.0	15
01/01/24	4:00 a	35.0	35.0	35.0	95	33.7	0.0	---	0.00	0.0	---	35.0	35.0	35.0	31.8	29.827	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.313	0.000	68.4	36	40.4	65.6	0.000	350	1	100.0	15
01/01/24	4:15 a	35.1	35.1	35.0	95	33.8	0.0	---	0.00	0.0	---	35.1	35.1	35.1	31.9	29.823	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.311	0.000	69.5	36	41.4	66.6	0.000	350	1	100.0	15
01/01/24	4:30 a	35.2	35.2	35.1	96	34.2	0.0	---	0.00	0.0	---	35.2	35.2	35.2	32.0	29.821	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.310	0.000	69.1	36	41.0	66.2	0.000	351	1	100.0	15
01/01/24	4:45 a	35.2	35.2	35.2	96	34.2	0.0	NW	0.00	1.0	NW	35.2	35.2	35.2	32.0	29.818	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.310	0.000	68.6	36	40.6	65.8	0.000	349	1	100.0	15
01/01/24	5:00 a	35.1	35.2	35.1	97	34.3	0.0	NW	0.00	2.0	NW	35.1	35.1	35.1	31.9	29.822	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.311	0.000	68.3	36	40.3	65.5	0.000	348	1	100.0	15
01/01/24	5:15 a	35.0	35.1	35.0	97	34.2	0.0	NW	0.00	1.0	NW	35.0	35.0	35.0	31.8	29.823	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.313	0.000	69.2	36	41.1	66.3	0.000	351	1	100.0	15
01/01/24	5:30 a	35.0	35.0	35.0	97	34.2	0.0	NW	0.00	1.0	NW	35.0	35.0	35.0	31.8	29.831	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.313	0.000	69.4	36	41.3	66.5	0.000	351	1	100.0	15
01/01/24	5:45 a	34.9	35.0	34.9	97	34.1	0.0	---	0.00	0.0	---	34.9	34.9	34.9	31.7	29.831	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.314	0.000	68.8	36	40.7	65.9	0.000	350	1	100.0	15
01/01/24	6:00 a	34.9	34.9	34.9	98	34.4	0.0	---	0.00	0.0	---	34.9	35.0	35.0	31.8	29.837	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.314	0.000	68.7	36	40.7	65.9	0.000	350	1	100.0	15
01/01/24	6:15 a	34.9	34.9	34.9	98	34.4	0.0	---	0.00	0.0	---	34.9	35.0	35.0	31.8	29.845	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.314	0.000	69.5	36	41.4	66.6	0.000	350	1	100.0	15
01/01/24	6:30 a	35.0	35.0	34.9	98	34.5	0.0	NW	0.00	1.0	NW	35.0	35.1	35.1	31.9	29.847	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.313	0.000	69.0	36	40.9	66.1	0.000	351	1	100.0	15
01/01/24	6:45 a	35.0	35.1	35.0	98	34.5	0.0	NW	0.00	1.0	NW	35.0	35.1	35.1	31.9	29.851	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.313	0.000	68.6	36	40.6	65.8	0.000	350	1	100.0	15
01/01/24	7:00 a	35.0	35.0	35.0	98	34.5	0.0	---	0.00	0.0	---	35.0	35.1	35.1	31.9	29.857	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.313	0.000	68.3	36	40.3	65.5	0.000	348	1	100.0	15
01/01/24	7:15 a	35.1	35.1	35.0	98	34.6	0.0	NW	0.00	1.0	NW	35.1	35.2	35.2	32.0	29.860	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.311	0.000	69.2	36	41.1	66.3	0.000	351	1	100.0	15
01/01/24	7:30 a	35.2	35.2	35.1	98	34.7	0.0	NW	0.00	1.0	NW	35.2	35.3	35.3	32.1	29.860	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.310	0.000	69.1	36	41.0	66.2	0.000	350	1	100.0	15
01/01/24	7:45 a	35.2	35.2	35.1	99	34.9	0.0	NW	0.00	2.0	NW	35.2	35.3	35.3	32.2	29.862	0.00	0.00	5	0.11	7	0.0	0.00	0.0	0.310	0.000	68.6	36	40.6	65.8	0.000	347	1	100.0	15
01/01/24	8:00 a	35.2	35.2	35.2	99	34.9	1.0	NW	0.25	3.0	NW	35.2	35.3	35.3	32.3	29.862	0.00	0.00	6	0.13	7	0.0	0.00	0.0	0.310	0.000	68.3	36	40.3	65.5	0.000	351	1	100.0	15
